CardId	Year	Conference	Title	Evidence	Author Names
PMC1064093	2005	decreases_activity	The p53-dependent apoptotic pathway of breast cancer cells (BC-M1) induced by the bis-type bioreductive compound aziridinylnaphthoquinone	 p21 protein to inhibit the cyclin	p21;cyclin
PMC117437	2002	decreases_activity	A novel link between the proteasome pathway and the signal transduction pathway of the Bone Morphogenetic Proteins (BMPs)	 SNIP1 is induced in a time-dependent fashion by BMP7	BMP7;SNIP1
PMC117437	2002	increases_activity	A novel link between the proteasome pathway and the signal transduction pathway of the Bone Morphogenetic Proteins (BMPs)	" Second, SNIP1 is recruited to antizyme and HsN3, which are likely in a complex with Smad1 and Smad4 (Fig. & )."	Smad1;SNIP1
PMC1181826	2005	increases_activity	Overcoming cisplatin resistance by mTOR inhibitor in lung cancer	 CCI-779 also enhances the apoptotic effect of cisplatin	CCI-779;cisplatin
PMC2118109	2006	increases_activity	PPARÎ_ controls CD1d expression by turning on retinoic acid synthesis in developing human dendritic cells	 PPARgamma ligand-mediated induction of CD1d and TGM2	PPARgamma;TGM2
PMC1064093	2005	decreases_activity	The p53-dependent apoptotic pathway of breast cancer cells (BC-M1) induced by the bis-type bioreductive compound aziridinylnaphthoquinone	 p53 protein and then upregulation of the p21 protein to inhibit the cyclin kinase cdk2	p53;cdk2
PMC1181826	2005	increases_activity	Overcoming cisplatin resistance by mTOR inhibitor in lung cancer	 CCI-779 can block P-gp and MRP1 efflux pump and consequently increased doxorubicin sensitivity in these P-gp1	CCI-779;P-gp1
PMC1183491	2005	increases_activity	Group 13 HOX proteins interact with the MH2 domain of R-Smads and modulate Smad transcriptional activation functions independent of HOX DNA-binding capability	" PAI-1 promoter that has been shown to bind a TGF-beta1-inducible protein complex, including Smad3"	PAI-1;Smad3
PMC1181826	2005	increases_activity	Overcoming cisplatin resistance by mTOR inhibitor in lung cancer	" CCI-779 to cisplatin in these resistant cells not only augments the growth inhibitory effect, but also the apoptotic effect of cisplatin"	CCI-779;cisplatin
PMC2118109	2006	decreases_activity	PPARÎ_ controls CD1d expression by turning on retinoic acid synthesis in developing human dendritic cells	 DEAB) diminished the expression of TGM2	DEAB;TGM2
