source	time	person	location	organization	miscellaneous
crooks_and_liars	2011-05-29T00:00:00	short|newt|david gregory|gregory|david ?|medicare|mitch mcconnell|newt gingrich	wisconsin	dc beltway|ny|is medicare|gwb	press|villager
crooks_and_liars	2011-05-29T00:00:00	margo dydek|ottumwa|lorenzo|ramon mora jr|thomas c allers|jeff conaway|joseph j hamski|plainwell|medical lake|r thibodeau|gil scott-heron|citrus heights|william s blevins|clifford e beattie|andrew m krippner|garland|christiane amanpour|chula vista	pentagon|chesterland|sardinia|afghanistan|ontario|iraq	wa us army|tx us army|ca us army|ia us air force|ca according|ca|kristoffer m solesbee|wnba|oh us air force|fallen project|washington post|oh us army|mi us army	canadian
crooks_and_liars	2011-05-29T00:00:00	lucha|brian payne|mario colloly	safeway|mexico|minneapolis|target|pennsylvania|central america	kmart|department of justice|twin cities|ctul|centro de trabajadores unidos|cub foods|wal-mart|workers united in struggle center	ukrainian|supervalu
crooks_and_liars	2011-05-29T00:00:00	andrew breitbart|lee|jesse lee|jesse|andy breitbart|steve murphy|hannity|sean hannity|murphy|nita chaudhury|breitbart|‰ÛÏ now	venezuela	huffington post|fox news|moveon.org|‰ÛÏ general betray us ‰Ûù|in part	freudian
crooks_and_liars	2011-05-29T00:00:00	paul ryan|nocera|jack|jack french kemp|grover norquist|george bush|jack kemp|steve benen|bob herbert|joe|kemp|joe nocera	washington monthly	don|economy is wavering|republican-led house|democratic party|does washington notice|gop|republican party|social security|ny times	reagan|randian|medicare|villager|wisconsinite
crooks_and_liars	2011-05-29T00:00:00	david neiwertup|mitch mcconnell|dean baker|mcconnell	chicago|detroit	strengthen social security campaign|show me progress|congressional quarterly|bs|social security	medicare
crooks_and_liars	2011-05-29T00:00:00	chuck schumer|tim tetz|elisabeth bumiller|tom friedman|beat obama|cory mccray|tim pawlenty|eric cantor|dale beatty|fischer|patty murray|betsy fischer|fareed zakaria|mitch daniels|executive producer|paul rieckhoff|joe klein|peter chiarelli|debbie wasserman schultz|allen west|mcconnell|chris matthews|gloria borger|david gregory|andrew sullivan|john mccain|mitch mcconnell|donna edwards	iraq	cbs|purple heart homes|birther debate hurt|saudi prince|cnn|army|american legion|real shot|afghanistan veterans of america|ibew local|nbc|three republicans with|progressive budget|betsy|senate minority	budget|press|fox news sunday|union
crooks_and_liars	2011-05-28T00:00:00	goshi hosono|tetsuo iguchi|mike weightman|hosono	japan|tepco	tokyo electric power|gulf coast|u.k. ‰Ûª|nagoya university|dai-ichi|fukushima dai-ichi|international atomic energy agency	fukushima
crooks_and_liars	2011-05-28T00:00:00	matthew yglesias|john boehner|ezra klein|job creators|hoover|david cay johnston|boehner|bill clinton|steve benen|herbert hoover|leonhardt|klein|record|george w. bush|harry smith|under bush|paul krugman|david leonhardt|mark shields	perrspectives|afghanistan|the center|ryan house|iraq|nation	cbs|house republican|the journal|tax justice|budget and policy priorities|cbpp|worst track record|house republicans|new york times|great recession|cbs face|center|republican-friendly wall street journal|congressional joint economic committee|washington post|times|economic club of new york|gop	world war ii|tarp
crooks_and_liars	2011-05-28T00:00:00	juan carlos vera|jeffrey s. tenenbaum|glenn beck|giles|hannah giles|o'keefe|lorenz|james o'keefe|maria dinzeo|mary landrieu|richard viguerie|abbie boudreau|judge lorenz	san diego|california	npr|first amendment|irs|courthouse news service|project veritas web|cnn|acorn|project veritas	ca|fox|california privacy act
crooks_and_liars	2011-05-28T00:00:00	scott|mike fasano|rick scott|sumter county|dean cannon|‰Ûù scott	central florida|florida	villages democratic club	anti-scott|villages
crooks_and_liars	2011-05-28T00:00:00	michele bachmann|bachmann|sarah palin|john king|michele|chris wallace|king	libya|missouri|europe|nola|joplin|india|usa|united kingdom|tripoli	ap|financial times|cnn	anti-americans|irish
crooks_and_liars	2011-05-28T00:00:00	jim gilchrist|shawna forde|glenn spencer|forde|joe arpaio|david neiwertup|minutemen|spencer|holthouse|heidi beirich|david holthouse	fox|cochise county|usa|patriot	patrol|minuteman civil defense corps.|mecha|intelligence project|southern poverty law center|tea|media matters|tea party|tea party nation|minuteman project|sheriff arpaio|american border patrol	minuteman|patriotic|nativist|arivaca|ebola
crooks_and_liars	2011-05-27T00:00:00	grover|marcellus shale|tom corbett|corbett|grover norquist|smith|gov. corbett|mary jo white|norquist|cassie holdworth-james|joe scarnati	harrisburg|pennsylvania|philadelphia	pa|senate bill|r.|jefferson|americans for tax reform|adapt|venango|pittsburgh post-gazette|taxpayer protection pledge|pennsylvania general assembly	pennsylvanians|gop-controlled
crooks_and_liars	2011-05-27T00:00:00	judge cacheris|cacheris|hillary clinton|s. ct.|judge james cacheris|bellotti	buckley|minnesota|virginia|new jersey	us supreme court|first amendment|citizens united|feca|think progress|forget at & t. imagine|supreme court	kochtopus|reagan
crooks_and_liars	2011-05-27T00:00:00	john boehner|dick cheney|ezra klein|biden|krugman|boehner|christina romer|bill clinton|brad delong|depression|delong|ronald reagan|mark zandi|george w. bush|john mccain|paul krugman|eugene robinson|david leonhardt	afghanistan|iraq	post|cbo|american recovery and reinvestment act|federal reserve|house republicans|new york times|great recession|april washington post|pew research|new yorks times|brad|st. louis fed|washington post|macroeconomic advisors|gop|congressional budget office|national journal|labor department	third depression|gallup|gdp|u.s. gdp
crooks_and_liars	2011-05-27T00:00:00	jesse lee|glenn beck|sean hannity|breitbart|barack obama|media matters|andrew breitbart|jesse|steve murphy|beck|george soros|hannity|murphy	venezuela	fox news|david neiwertup the fox	democratis
crooks_and_liars	2011-05-26T00:00:00	paul ryan|jane corwin|tim|tim pawlenty	minnesota|new hampshire	social security	medicare|granite|pawlenty
crooks_and_liars	2011-05-26T00:00:00	paul ryan|dick cheney|jesus|dick|social security|scott walker	wisconsin|houston	kool aid|budget committee chairman|kpmg global energy institute|beltway village|randian budget bill	medicare
crooks_and_liars	2011-05-26T00:00:00	ted stevens|john edwards|holder|murray waas|department|ensign|eric holder|why ensign|tom coburn	alaska|hamptons	department of justice|senate ethics committee|justice department|reuters|the department|doj	senator
