source	time	person	location	organization	miscellaneous
emptywheel	2014-10-13T00:00:00	tyler durden|mark adomanis|shia|bashar al-assad|zero hedge|vladimir putin|putin	emirates|iran|angola|europe|ecuador|shia iran|nigeria|qatar|ξ|iraq|libya|venezuela|russia|ukraine|algeria|kuwait|syria|middle east	shah|obama administration|isil	saudis|saudi|asian|ukrainian
emptywheel	2014-10-13T00:00:00	ashraf ghani ahmadzai	kobani|iran|isis|kobane|remarkably|kabul|afghanistan|afghanistan remarkably|syria	khaama press|islamic state's siege| yankee go home|yankee go home|solidarity party of afghanistan|bsa|syria sparks protest|islamic state|wall street journal|bilateral security agreement|nato	afghans|kurdish|islamic|afghan|us-led
emptywheel	2014-10-11T00:00:00	jacob appelbaum|forrest ξ|christopher tarbell|horowitz|judge katherine|glenn greenwald|joshua horowitz|forrest|ross ulbricht|tarbell|bart gellman|bridges|edward snowden|ulbricht	silk road|iceland|districts|tarbell declaration|new york	nsa|n.|brady|government communications headquarters|xkeyscore|guardian|fbi|sr server|data center|greenwich mean time|policy directive|immigration|facebook|gmail|central intelligence agency|federal bureau of investigation|tor|gchq|prism|subject ip address|guardian prism|southern district|drug enforcement administration|leaked ip|customs enforcement homeland security investigations|national security agency|exhibit|ip|silk road server|title iii pen|fbi agent|tor'|as wired|since item	icelandic|british|request|server|agent tarbell|non-tor
emptywheel	2014-10-11T00:00:00	nick foles|bianchi|sutil|sebastian vettel|adrian sutil|fernando alonso|jules|jules bianchi|damon hill	oregon|sochi|browns|seattle|dallas|arizona|texas|williams|st. louis|suzuka|san francisco|bills|mississippi	auburn|royals|bulldogs|auburn tigers|usc|sauber|orioles|nlcs|lsu|bad eli| ole miss rebels|mississippi state|kansas city royals|team marussia|steelers| boys|aryton senna	russian grand prix|japanese grand prix
emptywheel	2014-10-10T00:00:00	like obama|malala yousafzai|patrick leahy|edward snowden	uk|salon|europe|russia|canada|australia|new zealand|norway	usa freedom act|nsa|peace price|america's five eyes	european|nobel prize|pakistani|five eyes|nsa's|norwegians
emptywheel	2014-10-10T00:00:00	rafiq|nawaz sharif|arif rafiq|john brennan|miram shah|sharif	pakistan|datta khel|north waziristan	taliban|praising pakistan army|times|operation zarb-e-azb|cia|new york times	pakistani
emptywheel	2014-10-09T00:00:00	twitter|letter|kevin bankston|douglas letter|mary murguia	doe	fbi|usa freedom act|court fbi|doj appellate|usaf|federal bureau of investigation|eff|nsl|fisa|doj	circuit|nsls
emptywheel	2014-10-07T00:00:00	hammamak|thomas erdbrink	tehran|changi|iran|parchin	fema|google map of parchin|defense industries organization|the times|iranian students' news agency|new york times|bbc	iranian
emptywheel	2014-10-06T00:00:00	paulson|yves smith|mickey kantor|smith|taiya smith|david mccormick|fannie|mccormick|hillary clinton|lehman|morgan chase|wang qishan	freddie|yorba linda|california|aig|singapore|middle east|china	government of singapore investment corporation|new york fed|ptx|ubs|joint commission|wall streets'|corrected proposed findings of fact|commerce|treasury under secretary|studzinski dep|goldman|cic|chinese investment corporation|chrysler|blackrock|sigtarp|aig's|aig'|gic|senator|treasury|bank of america	middle eastern|russians|fed|japanese|chinese
emptywheel	2014-10-06T00:00:00	dan williams|williams	gaza|israel|iron dome	reuters|new york times	palestinian|lebanese
emptywheel	2014-10-06T00:00:00	jeh johnson|linda sarsour|omar saqr|bashar al-assad|garr king|mohamud|mohamed osman mohamud	portland|alaska|syria	fbi|international association of chiefs of police|department of homeland security|oregon district|national network for arab american communities|dhs|homeland security secretary|noor islamic cultural center	muslim|islamic|administration
emptywheel	2014-10-05T00:00:00	thomas duncan|linda m. stannard	kansas city|columbia|dallas|colorado|liberia|chicago|wong|new jersey	rna|cdc|wong's virology|university of cape town	enterovirus d68|ebola
emptywheel	2014-10-05T00:00:00	verizon|james cole	federal|usa	fbi|exotic section|prtt|protect america act|requests first|and odni|prism' section|yahoo's|us-based internet|internet|url|section|nsl|prism	hemisphere|state
emptywheel	2014-10-04T00:00:00	sebastian vettel|notre dame|brady|fernando alonso|dak prescott|peyton|ray rice|rich rod|alonso|don'|barbara s. jones|bill bel|rich rodriquez|vettel	auburn|autzen stadium|texas|alabama|mississippi|michigan state|new england|anaheim|ann arbor|mississippi state|suzuka|detroit|nebraska|maranello	ferrari|mclaren|nfl. man|orioles|lsu|cardinals|oregon ducks|arizona wildcats| ole miss. big|oakland|kansas city royals|hamilton|red bull|angels	japanese grand prix
emptywheel	2014-10-03T00:00:00	goitein	just security|iraq	us ip|nsa|elizabeth goitein|brennan center's elizabeth goitein|individual|isis|western union|cia|exotic internet|cdr|fisc|fbi|prtt|usa freedom act|usa freedom|usaf|dni| western union|prism	qaeda|ip
emptywheel	2014-10-03T00:00:00	ken wainstein|robert gates|wainstein|sealed case|walton|steven bradbury|reggie walton|gates|judge walton|james baker|mukasey|attorney general|kollar-kotelly|michael mukasey|judge colleen kollar-kotelly|alberto gonzales|craig morford|baker|peter keisler|edward snowden	ag|fisc|yahoo	defense|nsa|protect america act|fisa amendments act|paa|paa certifications|department of defense supplemental procedures governing communications ξ metadata analysis|acting deputy attorney general|national security agency|fiscr|supplemental procedures|faa|fbi general counsel|doj	certifications
emptywheel	2014-10-03T00:00:00	muhsin al-fadhli|chris stevens|assad|jenan moussa|moussa|abu yusuf|abu yousef al-turki|eli lake	benghazi|afghanistan|aleppo|syria|west	khorasan group'|qaeda|khorasan groupwas|wolf group|joint special operations command|jsoc|isis|al-aan television|khorasan group|daily beast|khorasan|qaeda's|jabhat al-nusra|isil	jordanian|jihadist|kurdish|western
emptywheel	2014-10-03T00:00:00	fredrik dahl|tero varjoranta|najafi|george jahn|dahl	tehran|vienna|iran	mostafa ahmadi roshan|iaea reza najafi|foreign ministry|ap|allameh tabatabaei university|reuters|department of safeguards|international atomic energy agency| ramin mehmanparast|u.n.|iran's ambassador|iaea	israelis|vienna-based|iranian|western
emptywheel	2014-10-02T00:00:00	goldsmith|harold|mary ellen oconnell|jack goldsmith|koh|adam schiff|s obama|harold koh	islamic state|syria|iraq	ξ national defense university|obl|america's|obama's isil|defense contractor|just security|national security constitution|isil|constitution|aumf	islamist|al-qaeda aumf|islamic|forever war
